									Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count
1054	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186336 PE=3 SV=1	tr|Q54NQ7|Q54NQ7_DICDI		28 kDa		unknown	3	3	0	0	1	1	0	0	0	4	0	0	0	0	1	1
1055	true	Empty	Adenylosuccinate synthetase (EC 6.3.4.4)	sp|P0A7D4|PURA_ECOLI		47 kDa		unknown	0	0	0	1	0	1	1	0	0	0	6	0	0	7	0	0
1056	true	Empty	Tyrosine-tRNA ligase OS=Dictyostelium discoideum GN=tyrS PE=4 SV=1	tr|Q551A1|Q551A1_DICDI		44 kDa	true	unknown	0	1	0	0	2	1	3	0	0	3	3	6	0	0	4	1
1057	true	Empty	Probable imidazolonepropionase OS=Dictyostelium discoideum GN=amdhd1 PE=3 SV=1	sp|Q55CY3|HUTI_DICDI		47 kDa	true	unknown	0	0	1	0	4	2	5	0	0	0	1	0	0	0	5	1
1058	true	Empty	Actin-related protein 2/3 complex subunit 5 OS=Dictyostelium discoideum GN=arcE PE=1 SV=1	sp|O96626|ARPC5_DICDI		15 kDa		unknown	3	3	3	1	2	0	0	0	0	3	1	2	0	0	2	4
1059	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189735 PE=4 SV=1	tr|Q55FM3|Q55FM3_DICDI		22 kDa		unknown	3	3	3	0	4	2	1	0	0	1	0	1	0	0	3	1
1060	true	Empty	Leucyl-tRNA synthetase (EC 6.1.1.4) (Leu	sp|P07813|SYL_ECOLI		97 kDa		unknown	0	0	1	0	0	0	0	1	0	0	5	4	0	6	1	0
1061	true	Empty	SH3 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0274805 PE=4 SV=1	tr|C7FZZ0|C7FZZ0_DICDI		40 kDa		unknown	0	0	1	0	6	5	0	0	0	0	1	0	0	0	4	6
1062	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216735 PE=4 SV=1	tr|Q55CH6|Q55CH6_DICDI		187 kDa	true	unknown	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0
1063	true	Empty	50S ribosomal protein L24.	sp|P60624|RL24_ECOLI		11 kDa		unknown	0	0	5	0	0	0	0	0	0	1	2	2	0	5	2	0
1064	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204271 PE=3 SV=1	tr|Q54TA6|Q54TA6_DICDI		51 kDa	true	unknown	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	1
1065	true	Empty	DUF814 family protein OS=Dictyostelium discoideum GN=DDB_0188474 PE=4 SV=1	tr|Q54HA7|Q54HA7_DICDI		146 kDa	true	unknown	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
1066	true	Empty	General transcriptional corepressor tupA OS=Dictyostelium discoideum GN=tupA PE=2 SV=1	sp|O76734|TUP1_DICDI		65 kDa		unknown	1	1	4	0	3	0	0	0	0	5	1	2	0	3	0	1
1067	true	Empty	RabGAP/TBC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188980 PE=4 SV=1	tr|Q54FT8|Q54FT8_DICDI		43 kDa		unknown	1	2	0	0	2	4	0	0	0	4	3	2	0	0	1	0
1068	true	Empty	Elongation protein 1 OS=Dictyostelium discoideum GN=elp1 PE=4 SV=1	tr|Q54Q66|Q54Q66_DICDI		159 kDa	true	unknown	1	1	3	0	0	4	3	0	0	2	4	0	0	0	3	3
1069	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0292556 PE=4 SV=1	tr|Q54CY2|Q54CY2_DICDI		178 kDa	true	unknown	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	0
1070	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190529 PE=4 SV=1	tr|Q55D79|Q55D79_DICDI		67 kDa	true	unknown	1	4	1	0	1	0	3	0	0	0	1	1	0	4	0	2
1071	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183870 PE=4 SV=1	tr|Q54EQ2|Q54EQ2_DICDI		17 kDa	true	unknown	3	3	2	0	1	0	3	0	0	2	0	0	0	0	2	2
1072	true	Empty	Phospholipase D OS=Dictyostelium discoideum GN=DDB_0190786 PE=4 SV=1	tr|Q55CF8|Q55CF8_DICDI		48 kDa		unknown	0	0	2	0	1	1	4	0	0	1	0	0	0	0	0	1
1073	true	Empty	Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0185918 PE=3 SV=1	tr|Q54PX6|Q54PX6_DICDI		44 kDa	true	unknown	1	1	0	0	3	0	0	0	0	4	2	3	0	0	0	3
1074	true	Empty	30S ribosomal protein S12.	sp|P0A7S3|RS12_ECOLI		14 kDa		unknown	0	0	4	1	0	0	0	0	0	0	1	4	0	2	1	0
1075	true	Empty	Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=pksB PE=2 SV=1	tr|O15744|O15744_DICDI		29 kDa		unknown	2	2	0	0	3	2	5	0	0	5	1	0	0	0	4	5
1076	true	Empty	NADPH oxidoreductase A OS=Dictyostelium discoideum GN=redA PE=2 SV=1	sp|Q54B10|REDA_DICDI		71 kDa	true	unknown	0	1	3	0	0	0	5	1	1	1	0	0	0	2	0	1
1077	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168187 PE=4 SV=1	tr|Q557H6|Q557H6_DICDI		26 kDa	true	unknown	2	2	3	0	4	2	0	0	0	1	0	1	0	0	2	1
1078	true	Empty	Spermidine synthase OS=Dictyostelium discoideum GN=spsA PE=3 SV=2	sp|Q9XY92|SPEE_DICDI		32 kDa	true	unknown	1	1	0	0	1	2	4	0	0	1	0	0	0	0	1	2
1079	true	Empty	30S ribosomal protein S2.	sp|P0A7V0|RS2_ECOLI		27 kDa	true	unknown	1	1	1	0	0	2	0	0	0	0	5	3	0	4	0	1
1080	true	Empty	Aminopeptidase N (EC 3.4.11.2) (Alpha-am	sp|P04825|AMPN_ECOLI		99 kDa	true	unknown	0	0	1	0	0	2	0	2	0	0	8	1	0	0	0	0
1081	true	Empty	Phospholipase B-like protein A OS=Dictyostelium discoideum GN=plbA PE=1 SV=1	sp|Q550U9|PLBLA_DICDI		65 kDa	true	unknown	1	0	0	0	0	0	8	0	0	1	0	0	0	0	1	0
1082	true	Empty	Ribosomal protein L15, mitochondrial OS=Dictyostelium discoideum GN=mrpl15 PE=3 SV=1	tr|Q54PP3|Q54PP3_DICDI		28 kDa	true	unknown	5	5	0	0	0	1	0	0	0	2	0	0	0	0	2	3
1083	true	Empty	Hypothetical protein yegK.	sp|P76395|YEGK_ECOLI		27 kDa		unknown	0	0	1	0	0	0	1	0	0	2	1	0	0	1	1	1
1084	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216653 PE=4 SV=2	tr|Q55E22|Q55E22_DICDI		110 kDa	true	unknown	2	1	1	0	2	3	0	1	0	3	1	0	0	1	1	4
1085	true	Empty	Protovillin OS=Dictyostelium discoideum GN=vilB PE=1 SV=1	sp|P36418|VILB_DICDI		109 kDa	true	unknown	0	0	2	0	0	1	0	0	0	4	0	0	0	0	2	1
1086	true	Empty	Methionine adenosyltransferase regulatory beta subunit OS=Dictyostelium discoideum GN=DDB_G0280135 PE=4 SV=1	tr|Q54VU3|Q54VU3_DICDI		37 kDa	true	unknown	1	2	1	0	2	2	4	0	0	4	3	0	0	0	1	5
1087	true	Empty	Probable phosphoglucomutase-2 OS=Dictyostelium discoideum GN=pgmB PE=3 SV=1	sp|Q54UQ2|PGM2_DICDI		68 kDa	true	unknown	2	3	3	0	1	0	0	3	0	2	0	2	0	0	1	4
1088	true	Empty	Alpha adducin OS=Dictyostelium discoideum GN=ahhA PE=4 SV=1	tr|Q54T47|Q54T47_DICDI		30 kDa		unknown	4	4	0	0	2	3	7	0	0	4	0	0	0	0	4	1
1089	true	Empty	Prolyl-tRNA synthetase (EC 6.1.1.15) (Pr	sp|P16659|SYP_ECOLI		64 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	6	2	0	6	0	0
1090	true	Empty	Aminoacyl-histidine dipeptidase (EC 3.4.	sp|P15288|PEPD_ECOLI		53 kDa	true	unknown	0	0	1	0	0	0	0	1	0	1	6	2	0	5	0	0
1091	true	Empty	Uracil phosphoribosyltransferase OS=Dictyostelium discoideum GN=uprt PE=3 SV=1	sp|Q55GQ6|UPP_DICDI		24 kDa	true	unknown	2	2	0	0	2	2	1	0	0	0	0	2	0	0	1	0
1092	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190384 PE=3 SV=1	tr|Q55DN6|Q55DN6_DICDI		43 kDa	true	unknown	0	0	1	0	1	0	3	0	0	1	0	0	0	0	1	1
1093	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187661 PE=4 SV=1	tr|Q54JS1|Q54JS1_DICDI		52 kDa	true	unknown	1	3	0	4	3	0	2	0	0	2	0	2	0	0	1	0
1094	true	Empty	Protease degQ precursor (EC 3.4.21.-).	sp|P39099|DEGQ_ECOLI		47 kDa	true	unknown	0	0	0	0	0	10	0	1	0	2	0	4	0	0	0	0
1095	true	Empty	50S ribosomal protein L22.	sp|P61175|RL22_ECOLI		12 kDa		unknown	0	0	4	1	0	1	0	0	0	0	0	2	0	5	2	0
1096	true	Empty	Cytochrome c oxidase subunit 5 OS=Dictyostelium discoideum GN=cxeA PE=1 SV=3	sp|P29505|COX5_DICDI		13 kDa		unknown	0	0	0	1	3	0	0	0	0	3	0	0	0	1	6	2
1097	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189721 PE=4 SV=1	tr|Q55FN8|Q55FN8_DICDI		61 kDa	true	unknown	0	0	2	0	0	0	1	0	0	2	1	0	0	0	1	1
1098	true	Empty	von Willebrand factor A domain-containing protein DDB_G0292016 OS=Dictyostelium discoideum GN=DDB_G0292016 PE=4 SV=1	sp|Q54DV3|Y2016_DICDI		102 kDa	true	unknown	0	2	1	0	0	0	0	1	1	3	1	0	2	0	0	0
1099	true	Empty	DOCK family protein OS=Dictyostelium discoideum GN=zizB PE=4 SV=1	tr|Q54CA8|Q54CA8_DICDI		242 kDa	true	unknown	0	1	0	0	0	3	0	0	0	1	2	1	0	0	1	0
1100	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204670 PE=4 SV=1	tr|Q54TF2|Q54TF2_DICDI		89 kDa	true	unknown	0	1	0	0	0	6	0	1	0	1	2	0	0	0	1	2
1101	true	Empty	Isobutyryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=acad8 PE=3 SV=1	sp|Q54IM8|ACAD8_DICDI		46 kDa		unknown	0	3	1	0	2	0	5	0	0	3	0	1	0	0	3	4
1102	true	Empty	Peptidase M16 family protein OS=Dictyostelium discoideum GN=pitrm1 PE=3 SV=2	tr|Q8MP58|Q8MP58_DICDI		121 kDa	true	unknown	1	1	4	0	0	1	6	0	1	2	0	0	0	0	0	3
1103	true	Empty	Glutamate decarboxylase B OS=Dictyostelium discoideum GN=gadB PE=2 SV=1	sp|Q54IJ3|GADB_DICDI		53 kDa	true	unknown	0	0	1	1	1	0	0	0	0	1	0	3	0	0	1	0
1104	true	Empty	Probable GH family 25 lysozyme 2 OS=Dictyostelium discoideum GN=DDB_G0274181 PE=3 SV=1	sp|Q86KC1|LYSG2_DICDI		23 kDa		unknown	0	0	2	0	2	1	3	0	0	2	2	1	0	0	2	2
1105	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187764 PE=4 SV=1	tr|Q54JG6|Q54JG6_DICDI		233 kDa	true	unknown	1	4	1	0	1	2	1	0	0	4	2	0	0	0	1	1
1106	true	Empty	NEDD8-activating enzyme E1 catalytic subunit OS=Dictyostelium discoideum GN=uba3 PE=3 SV=1	sp|Q54QG9|UBA3_DICDI		49 kDa	true	unknown	4	2	4	0	4	0	0	1	0	2	1	0	0	0	2	4
1107	true	Empty	Serine palmitoyltransferase 1 OS=Dictyostelium discoideum GN=sptA PE=3 SV=1	sp|Q55FL5|SPTC1_DICDI		54 kDa	true	unknown	1	1	0	0	1	6	2	3	0	1	2	0	0	5	1	1
1108	true	Empty	50S ribosomal protein L20.	sp|P0A7L3|RL20_ECOLI		13 kDa		unknown	1	1	4	0	0	0	0	0	0	2	1	4	0	1	1	0
1109	true	Empty	GTP-binding protein typA/BipA (Tyrosine	sp|P32132|TYPA_ECOLI		67 kDa	true	unknown	0	1	0	0	0	0	0	1	0	1	5	3	1	3	0	0
1110	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191909 PE=4 SV=1	tr|Q54BW3|Q54BW3_DICDI		48 kDa	true	unknown	0	0	3	0	3	2	3	0	0	2	0	1	0	1	3	0
1111	true	Empty	Methionyl-tRNA synthetase (EC 6.1.1.10)	sp|P00959|SYM_ECOLI		76 kDa	true	unknown	1	0	2	0	0	0	0	0	0	0	6	3	0	5	0	0
1112	true	Empty	50S ribosomal protein L14.	sp|P0ADY3|RL14_ECOLI		14 kDa		unknown	0	0	1	2	0	0	0	0	0	0	0	2	2	2	2	0
1113	true	Empty	Peptidyl-prolyl cis-trans isomerase D, mitochondrial OS=Dictyostelium discoideum GN=cypD PE=1 SV=1	sp|Q9UA41|PPID_DICDI		19 kDa	true	unknown	1	1	2	0	0	0	2	0	0	4	0	0	0	0	3	1
1114	true	Empty	Ribonuclease E (EC 3.1.4.-) (RNase E).	sp|P21513|RNE_ECOLI		118 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0
1115	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205186 PE=4 SV=1	rtr|Q54VE7|Q54VE7_DICDI		?	true	unknown	1	1	0	0	0	0	0	0	0	2	1	0	0	0	1	1
1116	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169450 PE=4 SV=1	rtr|Q75JM9|Q75JM9_DICDI		260 kDa	true	unknown	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0
1117	true	Empty	rtr|Q86L43|Q86L43_DICDI	rtr|Q86L43|Q86L43_DICDI		190 kDa	true	unknown	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0
1118	true	Empty	NADPH oxidoreductase B OS=Dictyostelium discoideum GN=redB PE=2 SV=1	sp|Q55CT1|REDB_DICDI		76 kDa	true	unknown	1	2	0	0	0	3	1	1	0	0	1	0	0	2	1	3
1119	true	Empty	UPF0053 inner membrane protein ytfL.	sp|P0AE45|YTFL_ECOLI		50 kDa	true	unknown	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	2
1120	true	Empty	Cell division protein ftsH (EC 3.4.24.-)	sp|P0AAI3|FTSH_ECOLI		71 kDa	true	unknown	0	2	0	2	0	0	0	0	0	0	3	1	0	0	0	0
1121	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204712 PE=4 SV=1	tr|Q54UX5|Q54UX5_DICDI		53 kDa	true	unknown	0	1	0	0	0	1	0	2	0	1	0	0	0	0	4	2
1122	true	Empty	Activating signal cointegrator 1 complex subunit 3-like OS=Dictyostelium discoideum GN=ascc3l PE=3 SV=1	sp|Q55CI8|HELCL_DICDI		256 kDa	true	unknown	0	0	1	0	0	1	0	0	0	3	2	0	0	0	1	1
1123	true	Empty	2,3,4,5-tetrahydropyridine-2,6-dicarboxy	sp|P0A9D8|DAPD_ECOLI		30 kDa		unknown	1	1	0	0	0	1	0	0	0	2	3	4	0	6	2	1
1124	true	Empty	Eukaryotic translation initiation factor 3 subunit D OS=Dictyostelium discoideum GN=eif3d PE=3 SV=1	sp|Q554U9|EIF3D_DICDI		60 kDa	true	unknown	0	0	4	0	3	0	1	0	0	2	1	0	0	0	0	3
1125	true	Empty	Glutaryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gcdh PE=3 SV=1	sp|Q54R47|GCDH_DICDI		46 kDa	true	unknown	0	3	0	0	1	0	4	0	0	3	1	0	0	0	3	3
1126	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187809 PE=4 SV=1	tr|Q54JB8|Q54JB8_DICDI		108 kDa	true	unknown	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0
1127	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184083 PE=4 SV=1	tr|Q54E40|Q54E40_DICDI		37 kDa		unknown	1	1	2	0	3	1	4	0	0	3	0	1	0	0	4	5
1128	true	Empty	Succinyl-CoA synthetase alpha chain (EC	sp|P0AGE9|SUCD_ECOLI		30 kDa		unknown	1	1	1	1	0	2	0	0	0	0	3	2	0	1	0	0
1129	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281967 PE=4 SV=1	tr|Q54T73|Q54T73_DICDI		78 kDa		unknown	0	0	0	0	1	0	6	0	0	0	0	1	0	0	0	0
1130	true	Empty	Threonyl-tRNA synthetase (EC 6.1.1.3) (T	sp|P0A8M3|SYT_ECOLI		74 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	8	3	2	1	0	0
1131	true	Empty	Calmodulin-like protein OS=Dictyostelium discoideum GN=calB PE=2 SV=1	sp|O00897|CALML_DICDI		17 kDa	true	unknown	4	4	1	0	4	0	0	0	0	0	0	3	0	0	2	1
1132	true	Empty	Ketol-acid reductoisomerase (EC 1.1.1.86	sp|P05793|ILVC_ECOLI		54 kDa		unknown	0	0	3	0	0	0	0	0	0	0	7	2	0	3	2	0
1133	true	Empty	Uncharacterized protein DDB_G0289955 OS=Dictyostelium discoideum GN=DDB_G0289955 PE=4 SV=1	sp|Q54GR3|Y8668_DICDI		22 kDa	true	unknown	1	1	1	0	2	1	1	0	0	2	0	0	1	0	1	1
1134	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185278 PE=4 SV=1	rtr|Q54RS8|Q54RS8_DICDI		?	true	unknown	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
1135	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191728 PE=4 SV=1	tr|Q54CE3|Q54CE3_DICDI		179 kDa	true	unknown	1	1	0	0	0	2	1	0	0	1	0	0	0	0	1	1
1136	true	Empty	Adenylate cyclase B OS=Dictyostelium fasciculatum GN=AcrA PE=4 SV=1	rtr|D0FHI8|D0FHI8_9MYCE		184 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
1137	true	Empty	Transcription-repair coupling factor (EC	sp|P30958|MFD_ECOLI		130 kDa	true	unknown	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0
1138	true	Empty	Villidin OS=Dictyostelium discoideum GN=vilA PE=1 SV=2	sp|Q8WQ85|VILD_DICDI		191 kDa	true	unknown	1	2	0	0	0	0	0	0	0	2	0	0	0	3	1	0
1139	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217527 PE=4 SV=1	tr|Q555H5|Q555H5_DICDI		199 kDa	true	unknown	0	0	1	0	0	2	0	0	0	1	1	1	0	0	0	3
1140	true	Empty	ATP-dependent protease hslV (EC 3.4.25.-	sp|P0A7B8|HSLV_ECOLI		19 kDa	true	unknown	1	1	2	1	0	0	1	0	0	1	2	2	1	0	1	1
1141	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190749 PE=4 SV=1	tr|Q55CK0|Q55CK0_DICDI		31 kDa	true	unknown	3	3	1	0	1	0	3	0	0	2	0	0	0	2	3	1
1142	true	Empty	Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	tr|Q54IK3|Q54IK3_DICDI		66 kDa		unknown	0	2	0	0	1	2	0	0	0	3	3	1	1	0	2	2
1143	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188878 PE=3 SV=1	tr|Q54G44|Q54G44_DICDI		126 kDa	true	unknown	0	0	4	0	1	1	2	1	0	2	0	0	0	0	0	2
1144	true	Empty	Porphobilinogen deaminase OS=Dictyostelium discoideum GN=hemC PE=3 SV=1	sp|Q54P93|HEM3_DICDI		36 kDa	true	unknown	1	1	4	0	1	2	5	0	0	5	0	0	0	0	3	3
1145	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186613 PE=4 SV=1	tr|Q54MX6|Q54MX6_DICDI		27 kDa		unknown	1	1	1	0	2	1	6	0	0	3	0	0	0	0	0	0
1146	true	Empty	Formate dehydrogenase-O, major subunit (	sp|P32176|FDOG_ECOLI		113 kDa	true	unknown	0	0	0	0	0	4	0	0	0	0	6	2	4	0	0	0
1147	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167013 PE=4 SV=1	tr|Q86AC9|Q86AC9_DICDI		93 kDa	true	unknown	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1
1148	true	Empty	Kynureninase OS=Dictyostelium discoideum GN=kynu PE=3 SV=1	sp|Q54Q04|KYNU_DICDI		51 kDa	true	unknown	1	0	2	0	3	2	6	0	0	0	0	0	0	0	2	1
1149	true	Empty	Glycyl-tRNA synthetase beta chain (EC 6.	sp|P00961|SYGB_ECOLI		77 kDa		unknown	0	0	0	0	0	0	0	0	0	2	8	5	0	3	0	0
1150	true	Empty	Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3	sp|P02599|CALM_DICDI		17 kDa	true	unknown	3	3	3	0	5	2	0	0	0	0	0	1	0	0	2	0
1151	true	Empty	EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0203006 PE=4 SV=1	tr|Q556M2|Q556M2_DICDI		159 kDa	true	unknown	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	0
1152	true	Empty	Adenylate kinase (EC 2.7.4.3) (ATP-AMP t	sp|P69441|KAD_ECOLI		24 kDa		unknown	4	4	0	0	1	1	1	0	0	1	2	0	0	2	0	0
1153	true	Empty	COP9 signalosome complex subunit 5 OS=Dictyostelium discoideum GN=csn5 PE=1 SV=1	sp|Q54PF3|CSN5_DICDI		38 kDa		unknown	2	3	1	0	1	2	0	0	0	2	2	1	0	0	4	1
1154	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205874 PE=4 SV=1	tr|Q54W38|Q54W38_DICDI		102 kDa	true	unknown	2	3	3	0	0	3	5	1	0	4	1	1	0	0	0	3
1155	true	Empty	Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=gnpda1 PE=3 SV=1	sp|Q54XK9|GNPI_DICDI		31 kDa	true	unknown	1	1	1	0	0	0	6	0	0	3	0	0	0	0	1	3
1156	true	Empty	Cullin-1 OS=Dictyostelium discoideum GN=culA PE=1 SV=1	sp|O60999|CUL1_DICDI		89 kDa	true	unknown	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0
1157	true	Empty	Phosphatidylinositide phosphatase SAC1 OS=Dictyostelium discoideum GN=sac1 PE=3 SV=1	sp|Q55AW9|SAC1_DICDI		67 kDa	true	unknown	0	0	2	0	1	0	8	1	0	2	4	0	0	1	0	0
1158	true	Empty	60S ribosomal protein L34 OS=Dictyostelium discoideum GN=rpl34 PE=3 SV=1	sp|Q54LV8|RL34_DICDI		14 kDa	true	unknown	2	2	0	0	1	0	0	0	0	1	0	0	0	1	1	3
1159	true	Empty	Fructose-1,6-bisphosphatase OS=Dictyostelium discoideum GN=fbp PE=3 SV=1	sp|Q6RYT0|F16P_DICDI		38 kDa		unknown	2	3	1	0	1	1	6	0	0	4	0	1	0	0	3	0
1160	true	Empty	ATP-dependent Clp protease ATP-binding s	sp|P0A6H1|CLPX_ECOLI		46 kDa		unknown	0	0	0	2	0	8	0	0	0	0	7	3	0	0	0	0
1161	true	Empty	Glucose-6-phosphate 1-dehydrogenase (EC	sp|P0AC53|G6PD_ECOLI		56 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	3	3	0	5	0	0
1162	true	Empty	Oligopeptidase A (EC 3.4.24.70).	sp|P27298|OPDA_ECOLI		77 kDa		unknown	0	1	0	0	0	0	0	0	0	0	7	2	0	2	0	0
1163	true	Empty	5'-3' exoribonuclease OS=Dictyostelium discoideum GN=xrn2 PE=4 SV=1	tr|Q55CS4|Q55CS4_DICDI		137 kDa	true	unknown	1	1	1	0	0	0	3	0	0	1	1	0	0	0	0	2
1164	true	Empty	Ankyrin repeat, PH and SEC7 domain containing protein secG OS=Dictyostelium discoideum GN=secG PE=2 SV=1	sp|Q54KA7|SECG_DICDI		108 kDa	true	unknown	0	0	0	0	0	2	2	0	0	2	1	0	0	0	0	1
1165	true	Empty	Signal recognition particle subunit SRP68 OS=Dictyostelium discoideum GN=srp68 PE=3 SV=1	sp|Q1ZXE8|SRP68_DICDI		71 kDa	true	unknown	2	2	0	0	2	0	0	1	0	1	2	1	1	1	0	3
1166	true	Empty	ALG-2 interacting protein X OS=Dictyostelium discoideum GN=alxA PE=1 SV=1	sp|Q8T7K0|ALIX_DICDI		91 kDa	true	unknown	1	1	0	0	1	2	0	0	0	0	1	0	0	0	1	1
1167	true	Empty	Eukaryotic translation initiation factor 4 gamma OS=Dictyostelium discoideum GN=eif4g PE=3 SV=1	sp|Q553R3|IF4G_DICDI		155 kDa	true	unknown	0	0	0	0	2	4	2	0	0	1	1	0	0	0	0	0
1168	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203201 PE=4 SV=1	tr|Q555B4|Q555B4_DICDI		189 kDa	true	unknown	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3
1169	true	Empty	HEAT repeat-containing protein 1 homolog OS=Dictyostelium discoideum GN=heatr1 PE=3 SV=1	sp|Q54ML4|HEAT1_DICDI		254 kDa	true	unknown	0	0	1	0	0	1	0	0	0	0	1	3	0	0	1	0
1170	true	Empty	Aconitate hydratase 1 (EC 4.2.1.3) (Citr	sp|P25516|ACON1_ECOLI		98 kDa	true	unknown	0	0	0	0	0	1	0	0	0	1	3	2	0	3	0	0
1171	true	Empty	UV excision repair protein RAD23 homolog OS=Dictyostelium discoideum GN=rcbA PE=1 SV=1	sp|Q54LV1|RAD23_DICDI		37 kDa	true	unknown	1	1	1	0	2	0	0	0	0	3	1	0	0	0	1	0
1172	true	Empty	Arf guanyl-nucleotide exchange factor OS=Dictyostelium discoideum GN=DDB_0219551 PE=4 SV=1	tr|Q54G75|Q54G75_DICDI		215 kDa	true	unknown	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0
1173	true	Empty	WSC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0186243 PE=4 SV=1	rtr|Q54P01|Q54P01_DICDI		84 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
1174	true	Empty	LIM domain-containing protein C OS=Dictyostelium discoideum GN=limC PE=2 SV=1	sp|Q9BIW5|LIMC_DICDI		21 kDa		unknown	1	1	0	0	4	1	0	0	0	5	0	2	0	0	4	4
1175	true	Empty	Ras-related protein Rab-2A OS=Dictyostelium discoideum GN=rab2A PE=2 SV=2	sp|P36409|RAB2A_DICDI		23 kDa	true	unknown	3	3	1	0	0	2	1	0	0	2	4	1	0	0	5	1
